75,Rhnbru Klosterbier,12,1,24 - 0.5 l bottles,7.7500,125,0,25,false,Plutzer Lebensmittelgromrkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,"",60439,Germany,(069) 992755,"",Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@2e5ddbf
1,Chai,1,1,10 boxes x 20 bags,18.0000,39,0,10,false,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,"",EC1 4SD,UK,(171) 555-2222,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@5c716e7b
2,Chang,1,1,24 - 12 oz bottles,19.0000,17,40,25,false,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,"",EC1 4SD,UK,(171) 555-2222,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@447b0a0
34,Sasquatch Ale,16,1,24 - 12 oz bottles,14.0000,111,0,15,false,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,"3400 - 8th Avenue
Suite 210",Bend,OR,97101,USA,(503) 555-9931,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@5011dc4a
35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0000,20,0,15,false,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,"3400 - 8th Avenue
Suite 210",Bend,OR,97101,USA,(503) 555-9931,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@7cb5fbd2
67,Laughing Lumberjack Lager,16,1,24 - 12 oz bottles,14.0000,52,0,10,false,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,"3400 - 8th Avenue
Suite 210",Bend,OR,97101,USA,(503) 555-9931,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@2be05089
43,Ipoh Coffee,20,1,16 - 500 g tins,46.0000,17,10,25,false,Leka Trading,Chandra Leka,Owner,"471 Serangoon Loop, Suite #402",Singapore,"",0512,Singapore,555-8787,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@129b37e5
76,Lakkalikri,23,1,500 ml,18.0000,57,0,20,false,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,"",53120,Finland,(953) 10956,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@4cb64a70
70,Outback Lager,7,1,24 - 355 ml bottles,15.0000,15,10,30,false,"Pavlova, Ltd.",Ian Devling,Marketing Manager,"74 Rose St.
Moonie Ponds",Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,"",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@1f8e535f
24,Guaran Fantstica,10,1,12 - 355 ml cans,4.5000,20,0,0,true,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,So Paulo,"",5442,Brazil,(11) 555 4640,"","",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@36433c3f
38,Cte de Blaye,18,1,12 - 75 cl bottles,263.5000,17,0,15,false,Aux joyeux ecclsiastiques,Guylne Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,"",75004,France,(1) 03.83.00.68,(1) 03.83.00.62,"",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@7dac010d
39,Chartreuse verte,18,1,750 cc per bottle,18.0000,69,0,5,false,Aux joyeux ecclsiastiques,Guylne Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,"",75004,France,(1) 03.83.00.68,(1) 03.83.00.62,"",Beverages,"Soft drinks, coffees, teas, beers, and ales",[B@3373102
